short_question,short_answer,tags,label,answer_length,question_length
how do people develop epilepsy,in most cases    about seven in 10 people    the cause of epilepsy is unknown in other cases epilepsy can have a symptomatic cause such as birth injuries head injuries and infectious diseases including meningitis and encephalitis it can also be caused by genetic conditions and stroke,['epilepsy'],1.0,284,30
can aids cure paralysis or leukemia how,of course now aids is not a cure for anything it is disease,['aids' 'paralysis' 'leukemia'],1.0,59,39
can a person with lupus give blood,hi just follow this link you should be able to but please read first good luck <link>,['lupus'],1.0,85,34
pain in legs – varicose veins,get it confirmed by doing venous doppler of both lower limbs if its varicose veins use stockinettes and keep legs over a pillow while sleeping,[''],1.0,142,29
what are the treatments for pneumonia,a widespread contact dermatitis is a more likely cause something in the surrounding is irritating the skin and you need to find it out local anti allergic creams and steroid tablets will help it reduce consult a dermatologist,['pneumonia'],-1.0,225,37
can you overfeed an infant,hi then its time to go to your doctor if you do not have one the er asap good luck,['infant'],-1.0,82,26
how can i relieve osteoarthritis pain,stress cause spasm to neck muscles which cause compression of c56 nerve roots u should consult a physical therapist should be able to help also bipolar disorder medication increase your symptoms consult your doctor to modify dosage,['osteoarthritis' 'pain'],-1.0,231,37
can you help me read my mri arthrogram,male factor infertility is when the cause of a couple is infertility is due to problems in the man or when it contributes to existing fertility problems in the woman,['read my mri arthrogram'],-1.0,165,38
what is chlamydia,hi found this very interesting site packed with lots of info that should help you should give you all the answers that your looking for the link <link> do hope this helps you and your mother good luck,['chlamydia'],-1.0,200,17
large growth on foot,you need to have it surgically removed,['growth on foot'],1.0,38,20
i lost too much weight how do i stop,i am not sure what you mean by mixed carbohydrates many foods contain carbohydrates including grains fruit milk and beans getting a variety or mix of carbohydrates plays an important role in a healthy diet for more on the different types of carbohydrates and health benefits see this webmd article,['eating disorders' 'nutrition' 'weight loss'],-1.0,297,36
how is chlamydia diagnosed,one thing that is important in any aneurysm is to watch blood pressure when you do exercise like heavy weight lifting the bp may tend to rise steeply due to holding of breath so please control your bp all the time,['chlamydia'],-1.0,213,26
what is dementia capable,dementia capable means skilled in working with people with dementia and their caregivers knowledgeable about the kinds of services that may help them and aware of which agencies and individuals provide such services,['dementia'],1.0,215,24
what are the symptoms of tuberculosis,not technically although a parent of a teenager can sure have depression and anxiety 13 years later after three years or 13 it not considered post partum depression but it is depression andor anxiety nonetheless this person needs medical help,['tuberculosis'],-1.0,242,37
can i get a flu shot if i have pink eye,could be a urinary tract infection uti go see your doctor for a urinalysis or urine culture,['flu' 'pink eye'],-1.0,91,39
what is osteoporosis,there are not any supplement that have been shown to reliably treat tendonitis there are braces nsaids topical anti inflammatories physical therapy and prp platelet rich plasma injections that have been shown to work,['osteoporosis'],-1.0,216,20
can alcohol consumption cause acne,this is due to overdose of zytomil u should talk with your doc and get the dose changed or change the drug,['consumption' 'acne'],-1.0,106,34
can coconut oil cause hives,the stated goal of the affordable care act is to provide near universal health insurance coverage but that is not likely how it will be the government projects that nearly 30 million people are likely to still be left without health insurance,['coconut oil' 'hives'],-1.0,242,27
what are symptoms of teething in a baby,it is possible that you are pregnant if you want to be sure take a home pregnancy test or make an appointment with your doctor if the home test comes back negative you may want to see your doctor anyways just to make sure everything is okay,['teething' 'baby'],-1.0,240,39
what is atopic dermatitis,atopic dermatitis is a type of eczema that worsens after exposure to an allergen eczema is a chronic inflammation of the skin that causes a rash eczema may be a reaction to an allergen symptoms include itching crusting blisters and scaling,['atopic dermatitis'],1.0,239,25
can potassium help with leg cramps,low potassium is usually a sign of muscle weakness leg cramps are mostly caused by dehydration low magnesium or low blood calcium the best treatment for cramps is to rehydrate and replenish your electrolytes possibly with chicken or beef broth,['leg' 'potassium' 'cramps'],1.0,243,34
what is lactose intolerance,hi it seems to be a type of infection or an allergic rash if creams have not worked you can take oral anti allergicanti biotic tablets after consulting a dermatologist take analgesic tablets for back pain if pain persists get an xray done thanks,['lactose intolerance'],-1.0,245,27
